Name,Appearances,Goals,Goals per match,Shots,Shots on target,Shooting accuracy %,Assists,Passes,Passes per match,Big chances created,Accurate long balls,Through balls,Crosses,Cross accuracy %,Tackles,Tackle success %,Interceptions,Blocked shots,Clearances,Recoveries,Duels won,Successful 50/50s,Aerial battles won,Errors leading to goal,Fouls,Yellow cards,Red cards
Oriol Romeu,183,4,0.02,113,23,20,9.090361446,7889,43.11,12,434,9,20,35,471,69,328,38,254,1118,1000,94,304,2.790055249,253,49,1.495652174
James Ward-Prowse,233,22,0.09,249,102,41,22,6946,29.81,36,294,17,1110,26,262,64,188,71,249,914,613,49,182,2.790055249,193,28,1
Stuart Armstrong,60,8,0.13,79,32,41,5,1230,20.5,3,34,2,48,19,61,64,23,23,34,189,184,51,31,2.790055249,47,6,1.495652174
Sofiane Boufal,70,3,0.04,73,20,27,4,1328,18.97,9,36,9,101,16,91,63,15,28,9,212,371,187,23,2.790055249,77,8,1.495652174
Nathan Redmond,208,25,0.12,382,129,34,18,5788,27.83,37,243,27,525,23,253,64,113,108,74,901,924,415,69,1,155,12,1
William Smallbone,11,13.19873817,11,6,45.628,6,2,248,22.55,12.24477612,236.3481894,14.35622318,9,20.99009901,13,63.59752322,3,2,1,386.3424242,369.7522659,61.37060703,123.5111111,2.790055249,4,11.86614173,1.495652174
Nathan Tella,2,13.19873817,2,2,1,50,9.090361446,4,2,12.24477612,236.3481894,14.35622318,153.01,20.99009901,120.5249406,63.59752322,89.74447174,27.512,173.8312958,386.3424242,7,1,1,2.790055249,70.25986079,11.86614173,1.495652174
Shane Long,322,55,0.17,403,161,40,23,4540,14.1,25,236.3481894,14.35622318,307,20.99009901,230,63.59752322,125,53,181,386.3424242,369.7522659,61.37060703,123.5111111,2.790055249,395,28,1.495652174
Danny Ings,113,45,0.4,268,108,40,9,1938,17.15,14,236.3481894,14.35622318,94,20.99009901,106,63.59752322,37,65,45,386.3424242,369.7522659,61.37060703,123.5111111,2.790055249,91,11,1.495652174
Che Adams,32,4,0.12,41,13,32,2,282,8.81,5,236.3481894,14.35622318,13,20.99009901,6,63.59752322,2,15,9,386.3424242,369.7522659,61.37060703,123.5111111,2.790055249,20,1,1.495652174
Michael Obafemi,28,4,0.14,20,8,40,3,156,5.57,3,236.3481894,14.35622318,3,20.99009901,8,63.59752322,7,7,173.8312958,386.3424242,369.7522659,61.37060703,123.5111111,2.790055249,13,2,1.495652174
Hugo Lloris,262,13.19873817,2.922714286,119.5245283,45.628,33.44150943,9.090361446,6702,25.58,12.24477612,1543,14.35622318,153.01,20.99009901,120.5249406,63.59752322,89.74447174,27.512,173.8312958,386.3424242,369.7522659,61.37060703,123.5111111,18,3,3,1.495652174
Paulo Gazzaniga,43,13.19873817,2.922714286,119.5245283,45.628,33.44150943,9.090361446,982,22.84,12.24477612,221,14.35622318,153.01,20.99009901,120.5249406,63.59752322,89.74447174,27.512,173.8312958,386.3424242,369.7522659,61.37060703,123.5111111,7,1,1,1.495652174
Joe Hart,340,13.19873817,2.922714286,119.5245283,45.628,33.44150943,1,6733,19.8,12.24477612,1800,14.35622318,153.01,20.99009901,120.5249406,63.59752322,89.74447174,27.512,173.8312958,386.3424242,369.7522659,61.37060703,123.5111111,20,6,7,1.495652174
Alfie Whiteman,81.7006237,13.19873817,2.922714286,119.5245283,45.628,33.44150943,9.090361446,2747.585417,30.74139293,12.24477612,236.3481894,14.35622318,153.01,20.99009901,120.5249406,63.59752322,89.74447174,27.512,173.8312958,386.3424242,369.7522659,61.37060703,123.5111111,2.790055249,70.25986079,11.86614173,1.495652174
Brandon Austin,81.7006237,13.19873817,2.922714286,119.5245283,45.628,33.44150943,9.090361446,2747.585417,30.74139293,12.24477612,236.3481894,14.35622318,153.01,20.99009901,120.5249406,63.59752322,89.74447174,27.512,173.8312958,386.3424242,369.7522659,61.37060703,123.5111111,2.790055249,70.25986079,11.86614173,1.495652174
Toby Alderweireld,176,8,2.922714286,119.5245283,45.628,33.44150943,4,10036,57.02,5,1081,22,57,28,226,74,183,27,976,824,556,26,282,1,68,20,1.495652174
Davinson Sánchez,84,1,2.922714286,119.5245283,45.628,33.44150943,1,4901,58.35,1,249,14.35622318,5,20,122,59,102,5,384,430,379,18,199,1,73,9,1
Juan Foyth,16,1,2.922714286,119.5245283,45.628,33.44150943,9.090361446,642,40.12,2,23,1,2,2,38,53,11,27.512,50,62,96,21,28,2,18,4,1
Serge Aurier,58,3,2.922714286,119.5245283,45.628,33.44150943,9,2326,40.1,11,64,1,229,14,162,67,85,10,149,285,394,62,130,1,79,4,2
Ben Davies,201,6,2.922714286,119.5245283,45.628,33.44150943,15,8593,42.75,20,327,5,587,22,390,69,263,32,625,689,957,79,343,2.790055249,162,26,1.495652174
Japhet Tanganga,6,13.19873817,2.922714286,119.5245283,45.628,33.44150943,9.090361446,201,33.5,12.24477612,6,14.35622318,2,2,17,53,11,1,29,27,45,6,18,1,8,1,1.495652174
Matt Doherty,77,8,2.922714286,119.5245283,45.628,33.44150943,8,2970,38.57,11,103,4,108,19,128,59,103,16,137,333,508,50,288,2.790055249,63,7,1.495652174
Dennis Cirkin,81.7006237,13.19873817,2.922714286,119.5245283,45.628,33.44150943,9.090361446,2747.585417,30.74139293,12.24477612,236.3481894,14.35622318,153.01,20.99009901,120.5249406,63.59752322,89.74447174,27.512,173.8312958,386.3424242,369.7522659,61.37060703,123.5111111,2.790055249,70.25986079,11.86614173,1.495652174
Cameron Carter-Vickers,81.7006237,13.19873817,2.922714286,119.5245283,45.628,33.44150943,9.090361446,2747.585417,30.74139293,12.24477612,236.3481894,14.35622318,153.01,20.99009901,120.5249406,63.59752322,89.74447174,27.512,173.8312958,386.3424242,369.7522659,61.37060703,123.5111111,2.790055249,70.25986079,11.86614173,1.495652174
Sergio Reguilón,81.7006237,13.19873817,2.922714286,119.5245283,45.628,33.44150943,9.090361446,2747.585417,30.74139293,12.24477612,236.3481894,14.35622318,153.01,20.99009901,120.5249406,63.59752322,89.74447174,27.512,173.8312958,386.3424242,369.7522659,61.37060703,123.5111111,2.790055249,70.25986079,11.86614173,1.495652174
Harry Winks,96,2,0.02,32,6,19,2,4198,43.73,3,199,11,54,17,88,65,73,8,64,394,230,51,33,2.790055249,59,14,1.495652174
Erik Lamela,155,16,0.1,203,69,34,23,4019,25.93,28,90,36,374,27,247,74,103,72,32,546,633,192,38,2.790055249,213,26,1.495652174
Eric Dier,176,10,0.06,114,27,24,8,9661,54.89,11,648,16,121,18,286,73,257,32,530,729,822,53,418,6,164,33,1.495652174
Moussa Sissoko,235,14,0.06,216,69,32,24,8466,36.03,34,257,60,459,22,280,78,163,54,176,1273,1069,386,240,1,276,36,2
Ryan Sessegnon,41,2,0.05,29,11,38,6,846,20.63,6,18,5,79,18,29,62,22,6,48,156,113,36,24,2.790055249,24,11.86614173,1.495652174
Dele Alli,157,50,0.32,319,128,40,33,5517,35.14,44,167,67,76,12,237,65,127,82,99,750,817,183,121,1,178,24,1.495652174
Tanguy Ndombele,23,2,0.09,9,4,44,2,672,29.22,1,19,4,13,15,24,67,14,3,8,83,102,40,8,2.790055249,15,4,1.495652174
Gedson Fernandes,7,13.19873817,7,1,45.628,1,9.090361446,39,5.57,12.24477612,236.3481894,14.35622318,7,29,2,2,1,1,173.8312958,7,6,2,123.5111111,2.790055249,70.25986079,11.86614173,1.495652174
Pierre-Emile Højbjerg,111,4,0.04,143,40,28,4,5860,52.79,4,315,20,89,31,245,65,177,34,131,939,639,100,153,2,149,21,2
Harvey White,81.7006237,13.19873817,2.922714286,119.5245283,45.628,33.44150943,9.090361446,2747.585417,30.74139293,12.24477612,236.3481894,14.35622318,153.01,20.99009901,120.5249406,63.59752322,89.74447174,27.512,173.8312958,386.3424242,369.7522659,61.37060703,123.5111111,2.790055249,70.25986079,11.86614173,1.495652174
Giovani Lo Celso,29,13.19873817,29,19,3,16,2,995,34.31,1,44,8,57,21,51,57,9,7,17,124,140,33,9,2.790055249,30,7,1.495652174
Lucas Moura,75,14,0.19,108,37,34,5,1653,22.04,7,236.3481894,14.35622318,43,20.99009901,95,63.59752322,42,29,51,386.3424242,369.7522659,61.37060703,123.5111111,2.790055249,62,6,1.495652174
Jack Clarke,81.7006237,13.19873817,2.922714286,119.5245283,45.628,33.44150943,9.090361446,2747.585417,30.74139293,12.24477612,236.3481894,14.35622318,153.01,20.99009901,120.5249406,63.59752322,89.74447174,27.512,173.8312958,386.3424242,369.7522659,61.37060703,123.5111111,2.790055249,70.25986079,11.86614173,1.495652174
Son Heung-Min,162,57,0.35,354,151,43,29,3731,23.03,32,236.3481894,14.35622318,242,20.99009901,110,63.59752322,57,96,43,386.3424242,369.7522659,61.37060703,123.5111111,2.790055249,65,4,2
Harry Kane,212,144,0.68,783,354,45,24,4408,20.79,38,236.3481894,14.35622318,178,20.99009901,139,63.59752322,59,190,147,386.3424242,369.7522659,61.37060703,123.5111111,2.790055249,208,26,1.495652174
Steven Bergwijn,16,3,0.19,9,4,44,1,265,16.56,1,236.3481894,14.35622318,10,20.99009901,10,63.59752322,1,3,5,386.3424242,369.7522659,61.37060703,123.5111111,2.790055249,9,2,1.495652174
Gareth Bale,146,42,0.29,435,161,37,20,4663,31.94,32,236.3481894,14.35622318,1021,20.99009901,220,63.59752322,240,113,295,386.3424242,369.7522659,61.37060703,123.5111111,2.790055249,86,15,1
Sam Johnstone,2,13.19873817,2.922714286,119.5245283,45.628,33.44150943,9.090361446,51,25.5,12.24477612,16,14.35622318,153.01,20.99009901,120.5249406,63.59752322,89.74447174,27.512,173.8312958,386.3424242,369.7522659,61.37060703,123.5111111,2.790055249,70.25986079,11.86614173,1.495652174
David Button,4,13.19873817,2.922714286,119.5245283,45.628,33.44150943,9.090361446,99,24.75,12.24477612,27,14.35622318,153.01,20.99009901,120.5249406,63.59752322,89.74447174,27.512,173.8312958,386.3424242,369.7522659,61.37060703,123.5111111,2.790055249,70.25986079,11.86614173,1.495652174
Jonathan Bond,81.7006237,13.19873817,2.922714286,119.5245283,45.628,33.44150943,9.090361446,2747.585417,30.74139293,12.24477612,236.3481894,14.35622318,153.01,20.99009901,120.5249406,63.59752322,89.74447174,27.512,173.8312958,386.3424242,369.7522659,61.37060703,123.5111111,2.790055249,70.25986079,11.86614173,1.495652174
Darnell Furlong,5,13.19873817,2.922714286,119.5245283,45.628,33.44150943,9.090361446,117,23.4,12.24477612,8,14.35622318,12,25,3,100,9,1,12,11,27,3,15,2.790055249,5,1,1.495652174
Kieran Gibbs,172,2,2.922714286,119.5245283,45.628,33.44150943,9,6012,34.95,13,162,11,429,19,332,68,307,20,496,715,757,127,239,1,112,17,2
Kyle Bartley,23,13.19873817,2.922714286,119.5245283,45.628,33.44150943,9.090361446,776,33.74,12.24477612,44,14.35622318,3,3,32,72,26,2,115,59,95,5,46,1,22,6,1.495652174
Semi Ajayi,2,13.19873817,2.922714286,119.5245283,45.628,33.44150943,9.090361446,54,27,12.24477612,5,14.35622318,153.01,20.99009901,120.5249406,63.59752322,2,27.512,3,9,1,61.37060703,1,2.790055249,2,1,1.495652174
Conor Townsend,81.7006237,13.19873817,2.922714286,119.5245283,45.628,33.44150943,9.090361446,2747.585417,30.74139293,12.24477612,236.3481894,14.35622318,153.01,20.99009901,120.5249406,63.59752322,89.74447174,27.512,173.8312958,386.3424242,369.7522659,61.37060703,123.5111111,2.790055249,70.25986079,11.86614173,1.495652174
Ahmed Hegazi,38,2,2.922714286,119.5245283,45.628,33.44150943,9.090361446,1186,31.21,12.24477612,135,1,10,30,58,66,60,27.512,270,183,192,22,103,1,24,4,1.495652174
Dara O'Shea,2,13.19873817,2.922714286,119.5245283,45.628,33.44150943,9.090361446,79,39.5,12.24477612,13,14.35622318,153.01,20.99009901,8,38,1,27.512,6,11,12,61.37060703,3,2.790055249,2,11.86614173,1.495652174
Cédric Kipré,81.7006237,13.19873817,2.922714286,119.5245283,45.628,33.44150943,9.090361446,2747.585417,30.74139293,12.24477612,236.3481894,14.35622318,153.01,20.99009901,120.5249406,63.59752322,89.74447174,27.512,173.8312958,386.3424242,369.7522659,61.37060703,123.5111111,2.790055249,70.25986079,11.86614173,1.495652174
Lee Peltier,20,13.19873817,2.922714286,119.5245283,45.628,33.44150943,9.090361446,342,17.1,12.24477612,21,14.35622318,6,50,39,64,18,27.512,53,70,78,3,30,2.790055249,15,4,1.495652174
Branislav Ivanovic,261,22,2.922714286,119.5245283,45.628,33.44150943,20,9871,37.82,20,660,12,520,20,528,81,393,40,1137,1154,1427,106,587,2,293,55,2
Jake Livermore,180,7,0.04,129,32,25,9,6813,37.85,11,482,20,56,18,363,70,227,41,164,903,633,81,108,2.790055249,199,30,1
Matt Phillips,110,10,0.09,150,39,26,22,1831,16.65,23,60,9,536,23,100,65,70,40,83,408,435,175,114,2.790055249,57,6,1.495652174
Kamil Grosicki,15,13.19873817,15,24,7,29,4,251,16.73,5,1,14.35622318,84,20,4,100,8,4,6,36,21,13,1,2.790055249,12,1,1.495652174
Rekeem Harper,2,13.19873817,2,119.5245283,45.628,33.44150943,9.090361446,18,9,12.24477612,2,14.35622318,153.01,20.99009901,1,100,1,27.512,173.8312958,2,2,1,123.5111111,2.790055249,1,11.86614173,1.495652174
Romaine Sawyers,2,13.19873817,2,119.5245283,45.628,33.44150943,9.090361446,63,31.5,12.24477612,3,14.35622318,153.01,20.99009901,2,2,2,27.512,1,9,6,61.37060703,2,2.790055249,1,11.86614173,1.495652174
Sam Field,20,1,0.05,6,1,17,9.090361446,275,13.75,12.24477612,17,14.35622318,15,20,21,86,15,4,9,56,47,4,12,2.790055249,16,5,1.495652174
Kyle Edwards,2,13.19873817,2,1,45.628,1,9.090361446,11,5.5,12.24477612,236.3481894,14.35622318,153.01,20.99009901,2,63.59752322,89.74447174,1,173.8312958,386.3424242,369.7522659,61.37060703,123.5111111,2.790055249,70.25986079,11.86614173,1.495652174
Grady Diangana,19,1,0.05,13,5,38,1,298,15.68,3,4,14.35622318,14,29,23,48,4,3,5,49,72,25,9,2.790055249,4,11.86614173,1.495652174
Conor Gallagher,81.7006237,13.19873817,2.922714286,119.5245283,45.628,33.44150943,9.090361446,2747.585417,30.74139293,12.24477612,236.3481894,14.35622318,153.01,20.99009901,120.5249406,63.59752322,89.74447174,27.512,173.8312958,386.3424242,369.7522659,61.37060703,123.5111111,2.790055249,70.25986079,11.86614173,1.495652174
Hal Robson-Kanu,76,12,0.16,73,28,38,3,682,8.97,2,236.3481894,14.35622318,101,20.99009901,21,63.59752322,29,17,34,386.3424242,369.7522659,61.37060703,123.5111111,2.790055249,76,5,1
Kenneth Zohore,19,1,0.05,17,8,47,1,136,7.16,1,236.3481894,14.35622318,7,20.99009901,3,63.59752322,2,4,5,386.3424242,369.7522659,61.37060703,123.5111111,2.790055249,13,1,1.495652174
Matheus Pereira,2,1,0.5,4,2,50,1,56,28,12.24477612,236.3481894,14.35622318,5,20.99009901,1,63.59752322,3,1,2,386.3424242,369.7522659,61.37060703,123.5111111,2.790055249,3,11.86614173,1.495652174
Charlie Austin,106,34,0.32,255,106,42,8,1500,14.15,7,236.3481894,14.35622318,54,20.99009901,62,63.59752322,17,78,84,386.3424242,369.7522659,61.37060703,123.5111111,2.790055249,83,8,1
Callum Robinson,22,1,0.05,14,5,36,1,190,8.64,2,236.3481894,14.35622318,22,20.99009901,7,63.59752322,7,3,3,386.3424242,369.7522659,61.37060703,123.5111111,2.790055249,13,1,1.495652174
Jamie Soule,81.7006237,13.19873817,2.922714286,119.5245283,45.628,33.44150943,9.090361446,2747.585417,30.74139293,12.24477612,236.3481894,14.35622318,153.01,20.99009901,120.5249406,63.59752322,89.74447174,27.512,173.8312958,386.3424242,369.7522659,61.37060703,123.5111111,2.790055249,70.25986079,11.86614173,1.495652174
Lukasz Fabianski,246,13.19873817,2.922714286,119.5245283,45.628,33.44150943,2,6328,25.72,12.24477612,1895,14.35622318,153.01,20.99009901,120.5249406,63.59752322,89.74447174,27.512,173.8312958,386.3424242,369.7522659,61.37060703,123.5111111,17,6,4,1
David Martin,5,13.19873817,2.922714286,119.5245283,45.628,33.44150943,9.090361446,111,22.2,12.24477612,40,14.35622318,153.01,20.99009901,120.5249406,63.59752322,89.74447174,27.512,173.8312958,386.3424242,369.7522659,61.37060703,123.5111111,1,70.25986079,1,1.495652174
Darren Randolph,31,13.19873817,2.922714286,119.5245283,45.628,33.44150943,9.090361446,839,27.06,12.24477612,309,14.35622318,153.01,20.99009901,120.5249406,63.59752322,89.74447174,27.512,173.8312958,386.3424242,369.7522659,61.37060703,123.5111111,5,70.25986079,1,1.495652174
Nathan Trott,81.7006237,13.19873817,2.922714286,119.5245283,45.628,33.44150943,9.090361446,2747.585417,30.74139293,12.24477612,236.3481894,14.35622318,153.01,20.99009901,120.5249406,63.59752322,89.74447174,27.512,173.8312958,386.3424242,369.7522659,61.37060703,123.5111111,2.790055249,70.25986079,11.86614173,1.495652174
Aaron Cresswell,190,8,2.922714286,119.5245283,45.628,33.44150943,18,6957,36.62,27,506,6,752,21,212,62,230,28,515,855,645,60,260,6,88,23,1
Fabián Balbuena,40,2,2.922714286,119.5245283,45.628,33.44150943,9.090361446,1335,33.38,1,86,2,2,2,57,56,79,5,243,167,188,3,124,2,25,4,1.495652174
Gonçalo Cardoso,81.7006237,13.19873817,2.922714286,119.5245283,45.628,33.44150943,9.090361446,2747.585417,30.74139293,12.24477612,236.3481894,14.35622318,153.01,20.99009901,120.5249406,63.59752322,89.74447174,27.512,173.8312958,386.3424242,369.7522659,61.37060703,123.5111111,2.790055249,70.25986079,11.86614173,1.495652174
Angelo Ogbonna,137,4,2.922714286,119.5245283,45.628,33.44150943,1,4633,33.82,2,342,3,9,56,171,68,208,10,689,585,626,27,373,2,88,16,1.495652174
Issa Diop,67,4,2.922714286,119.5245283,45.628,33.44150943,1,2212,33.01,3,107,14.35622318,1,1,97,56,114,2,326,330,291,11,157,2,49,12,1.495652174
Ryan Fredericks,44,1,2.922714286,119.5245283,45.628,33.44150943,4,1358,30.86,5,47,14.35622318,89,25,122,66,41,4,109,170,234,23,59,1,38,14,1.495652174
Arthur Masuaku,81,13.19873817,2.922714286,119.5245283,45.628,33.44150943,6,2578,31.83,7,128,4,197,16,196,59,102,5,140,458,506,180,74,2.790055249,72,12,1
Ben Johnson,4,13.19873817,4,1,45.628,1,9.090361446,135,33.75,12.24477612,6,14.35622318,11,18,9,44,4,27.512,13,13,18,1,7,2.790055249,8,11.86614173,1.495652174
Ajibola Alese,81.7006237,13.19873817,2.922714286,119.5245283,45.628,33.44150943,9.090361446,2747.585417,30.74139293,12.24477612,236.3481894,14.35622318,153.01,20.99009901,120.5249406,63.59752322,89.74447174,27.512,173.8312958,386.3424242,369.7522659,61.37060703,123.5111111,2.790055249,70.25986079,11.86614173,1.495652174
Harrison Ashby,81.7006237,13.19873817,2.922714286,119.5245283,45.628,33.44150943,9.090361446,2747.585417,30.74139293,12.24477612,236.3481894,14.35622318,153.01,20.99009901,120.5249406,63.59752322,89.74447174,27.512,173.8312958,386.3424242,369.7522659,61.37060703,123.5111111,2.790055249,70.25986079,11.86614173,1.495652174
Felipe Anderson,63,10,0.16,81,33,41,8,2567,40.75,14,127,27,155,28,136,60,63,25,22,339,366,139,16,2.790055249,44,4,1.495652174
Manuel Lanzini,122,20,0.16,195,61,31,13,5096,41.77,18,136,24,257,25,123,67,118,56,30,682,533,256,20,1,50,19,1.495652174
Robert Snodgrass,160,26,0.16,250,88,35,23,4715,29.47,35,135,36,1090,27,265,72,106,78,105,623,864,154,158,2.790055249,199,30,1.495652174
Mark Noble,383,46,0.12,332,114,34,35,17862,46.64,35,1484,105,958,32,860,70,566,91,264,2330,1607,243,99,3,380,81,5
Pablo Fornals,38,2,0.05,37,11,30,5,893,23.5,4,41,6,63,16,47,60,26,10,8,160,92,17,10,2.790055249,19,3,1.495652174
Jack Wilshere,182,8,0.04,140,50,36,18,7494,41.18,32,364,156,239,18,217,74,153,43,53,915,926,339,59,1,169,36,2
Declan Rice,101,3,0.03,59,14,24,3,3942,39.03,2,275,4,39,31,254,57,160,15,180,681,489,79,141,1,64,11,1.495652174
Josh Cullen,3,13.19873817,3,119.5245283,45.628,33.44150943,9.090361446,4,1.33,12.24477612,236.3481894,14.35622318,153.01,20.99009901,120.5249406,63.59752322,2,27.512,1,1,369.7522659,61.37060703,123.5111111,2.790055249,70.25986079,11.86614173,1.495652174
Conor Coventry,81.7006237,13.19873817,2.922714286,119.5245283,45.628,33.44150943,9.090361446,2747.585417,30.74139293,12.24477612,236.3481894,14.35622318,153.01,20.99009901,120.5249406,63.59752322,89.74447174,27.512,173.8312958,386.3424242,369.7522659,61.37060703,123.5111111,2.790055249,70.25986079,11.86614173,1.495652174
Michail Antonio,135,37,0.27,307,117,38,14,2689,19.92,21,117,17,322,21,120,71,126,72,123,479,926,297,316,2,153,14,1
Andriy Yarmolenko,34,7,0.21,38,17,45,1,626,18.41,7,236.3481894,14.35622318,35,20.99009901,18,63.59752322,8,8,7,386.3424242,369.7522659,61.37060703,123.5111111,2.790055249,25,5,1.495652174
Jarrod Bowen,22,1,0.05,32,7,22,4,328,14.91,4,236.3481894,14.35622318,71,20.99009901,24,63.59752322,19,14,4,386.3424242,369.7522659,61.37060703,123.5111111,2.790055249,8,11.86614173,1.495652174
Sébastien Haller,34,7,0.21,58,28,48,1,779,22.91,2,236.3481894,14.35622318,8,20.99009901,22,63.59752322,8,10,26,386.3424242,369.7522659,61.37060703,123.5111111,2.790055249,49,1,1.495652174
Xande Silva,1,13.19873817,1,2,45.628,2,9.090361446,4,4,12.24477612,236.3481894,14.35622318,153.01,20.99009901,120.5249406,63.59752322,89.74447174,2,173.8312958,386.3424242,369.7522659,61.37060703,123.5111111,2.790055249,70.25986079,11.86614173,1.495652174
Emmanuel Longelo,81.7006237,13.19873817,2.922714286,119.5245283,45.628,33.44150943,9.090361446,2747.585417,30.74139293,12.24477612,236.3481894,14.35622318,153.01,20.99009901,120.5249406,63.59752322,89.74447174,27.512,173.8312958,386.3424242,369.7522659,61.37060703,123.5111111,2.790055249,70.25986079,11.86614173,1.495652174
Rui Patrício,77,13.19873817,2.922714286,119.5245283,45.628,33.44150943,9.090361446,1530,19.87,12.24477612,550,14.35622318,153.01,20.99009901,120.5249406,63.59752322,89.74447174,27.512,173.8312958,386.3424242,369.7522659,61.37060703,123.5111111,3,70.25986079,11.86614173,1.495652174
John Ruddy,119,13.19873817,2.922714286,119.5245283,45.628,33.44150943,9.090361446,2580,21.68,12.24477612,736,14.35622318,153.01,20.99009901,120.5249406,63.59752322,89.74447174,27.512,173.8312958,386.3424242,369.7522659,61.37060703,123.5111111,12,1,3,1
Willy Boly,60,4,2.922714286,119.5245283,45.628,33.44150943,1,2779,46.32,5,129,2,2,2,147,61,116,6,285,336,425,22,234,2.790055249,55,3,2
Conor Coady,79,13.19873817,2.922714286,119.5245283,45.628,33.44150943,9.090361446,3617,45.78,2,545,7,153.01,20.99009901,71,63,62,27.512,251,504,160,7,68,2,28,10,1.495652174
Jonny,68,3,2.922714286,119.5245283,45.628,33.44150943,3,2162,31.79,3,53,2,100,18,170,58,113,18,82,329,367,62,74,2,57,10,1.495652174
Rúben Vinagre,34,13.19873817,2.922714286,119.5245283,45.628,33.44150943,9.090361446,556,16.35,3,14,1,83,19,40,60,26,2,31,102,107,35,16,2.790055249,19,2,1.495652174
Maximilian Kilman,4,13.19873817,2.922714286,119.5245283,45.628,33.44150943,9.090361446,101,25.25,12.24477612,2,14.35622318,153.01,20.99009901,4,50,4,27.512,7,9,17,1,12,2.790055249,2,11.86614173,1.495652174
Oskar Buur,1,13.19873817,2.922714286,119.5245283,45.628,33.44150943,9.090361446,14,14,12.24477612,236.3481894,14.35622318,153.01,20.99009901,120.5249406,63.59752322,89.74447174,27.512,173.8312958,386.3424242,1,61.37060703,1,2.790055249,70.25986079,11.86614173,1.495652174
Marçal,2,13.19873817,2.922714286,119.5245283,45.628,33.44150943,9.090361446,37,18.5,12.24477612,2,14.35622318,1,1,2,50,2,27.512,3,4,11,2,6,2.790055249,1,1,1.495652174
Ki-Jana Hoever,81.7006237,13.19873817,2.922714286,119.5245283,45.628,33.44150943,9.090361446,2747.585417,30.74139293,12.24477612,236.3481894,14.35622318,153.01,20.99009901,120.5249406,63.59752322,89.74447174,27.512,173.8312958,386.3424242,369.7522659,61.37060703,123.5111111,2.790055249,70.25986079,11.86614173,1.495652174
Rúben Neves,75,6,0.08,137,26,19,5,4024,53.65,7,440,19,61,21,139,47,131,55,77,601,263,33,60,2.790055249,66,17,1.495652174
Daniel Podence,11,1,0.09,12,3,25,2,143,13,4,6,2,9,44,7,57,2,4,1,17,28,10,123.5111111,2.790055249,6,11.86614173,1.495652174
Romain Saïss,54,5,0.09,38,15,39,1,2453,45.43,4,208,1,18,17,97,68,87,6,187,276,326,13,186,2.790055249,72,17,1
João Moutinho,78,2,0.03,40,9,23,14,3778,48.44,16,281,10,422,31,210,52,91,10,59,530,340,28,43,2.790055249,95,11,1.495652174
Leander Dendoncker,59,6,0.1,37,15,41,9.090361446,1966,33.32,2,81,14.35622318,16,31,124,47,61,6,92,246,328,28,158,1,43,6,1.495652174
Vitinha,1,13.19873817,1,119.5245283,45.628,33.44150943,9.090361446,5,5,12.24477612,236.3481894,14.35622318,153.01,20.99009901,120.5249406,63.59752322,89.74447174,27.512,173.8312958,1,1,1,123.5111111,2.790055249,70.25986079,11.86614173,1.495652174
Meritan Shabani,81.7006237,13.19873817,2.922714286,119.5245283,45.628,33.44150943,9.090361446,2747.585417,30.74139293,12.24477612,236.3481894,14.35622318,153.01,20.99009901,120.5249406,63.59752322,89.74447174,27.512,173.8312958,386.3424242,369.7522659,61.37060703,123.5111111,2.790055249,70.25986079,11.86614173,1.495652174
Pedro Neto,31,3,0.1,19,6,32,4,399,12.87,5,236.3481894,14.35622318,52,20.99009901,11,63.59752322,9,7,3,386.3424242,369.7522659,61.37060703,123.5111111,2.790055249,16,3,1.495652174
Raúl Jiménez,78,32,0.41,237,82,35,13,2108,27.03,26,236.3481894,14.35622318,57,20.99009901,51,63.59752322,43,53,75,386.3424242,369.7522659,61.37060703,123.5111111,2.790055249,81,7,1.495652174
Adama Traoré,105,5,0.05,78,21,27,12,1434,13.66,13,236.3481894,14.35622318,327,20.99009901,86,63.59752322,27,26,26,386.3424242,369.7522659,61.37060703,123.5111111,2.790055249,80,4,1.495652174
Fábio Silva,1,13.19873817,1,119.5245283,45.628,33.44150943,9.090361446,1,1,12.24477612,236.3481894,14.35622318,153.01,20.99009901,120.5249406,63.59752322,89.74447174,27.512,173.8312958,386.3424242,369.7522659,61.37060703,123.5111111,2.790055249,70.25986079,11.86614173,1.495652174
Leonardo Campana,81.7006237,13.19873817,2.922714286,119.5245283,45.628,33.44150943,9.090361446,2747.585417,30.74139293,12.24477612,236.3481894,14.35622318,153.01,20.99009901,120.5249406,63.59752322,89.74447174,27.512,173.8312958,386.3424242,369.7522659,61.37060703,123.5111111,2.790055249,70.25986079,11.86614173,1.495652174
