Name,Appearances,Goals,Goals per match,Shots,Shots on target,Shooting accuracy %,Assists,Passes,Passes per match,Big chances created,Accurate long balls,Through balls,Crosses,Cross accuracy %,Tackles,Tackle success %,Interceptions,Blocked shots,Clearances,Recoveries,Duels won,Successful 50/50s,Aerial battles won,Errors leading to goal,Fouls,Yellow cards,Red cards
Charlie Cresswell,81.7006237,13.19873817,2.922714286,119.5245283,45.628,33.44150943,9.090361446,2747.585417,30.74139293,12.24477612,236.3481894,14.35622318,153.01,20.99009901,120.5249406,63.59752322,89.74447174,27.512,173.8312958,386.3424242,369.7522659,61.37060703,123.5111111,2.790055249,70.25986079,11.86614173,1.495652174
Robbie Gotts,81.7006237,13.19873817,2.922714286,119.5245283,45.628,33.44150943,9.090361446,2747.585417,30.74139293,12.24477612,236.3481894,14.35622318,153.01,20.99009901,120.5249406,63.59752322,89.74447174,27.512,173.8312958,386.3424242,369.7522659,61.37060703,123.5111111,2.790055249,70.25986079,11.86614173,1.495652174
Adam Forshaw,35,13.19873817,35,28,6,21,1,1355,38.71,3,99,8,51,20,62,69,36,9,23,176,133,22,17,2.790055249,33,4,1.495652174
Ezgjan Alioski,1,13.19873817,1,1,1,100,9.090361446,11,11,12.24477612,236.3481894,14.35622318,1,1,1,100,1,27.512,173.8312958,2,2,61.37060703,123.5111111,2.790055249,1,11.86614173,1.495652174
Stuart Dallas,2,13.19873817,2,119.5245283,45.628,33.44150943,9.090361446,101,50.5,12.24477612,7,1,1,1,12,67,4,27.512,7,18,19,2,1,2.790055249,70.25986079,11.86614173,1.495652174
Pablo Hernández,58,5,0.09,78,21,27,13,2341,40.36,12,135,24,183,17,56,68,54,23,26,203,159,54,6,2.790055249,29,5,1.495652174
Kalvin Phillips,2,13.19873817,2,1,45.628,1,1,92,46,12.24477612,7,14.35622318,10,40,8,63,4,27.512,6,15,12,61.37060703,2,2.790055249,70.25986079,11.86614173,1.495652174
Mateusz Klich,2,2,1,2,2,100,1,92,46,12.24477612,1,14.35622318,3,3,6,83,4,27.512,2,16,11,1,3,2.790055249,5,1,1.495652174
Jamie Shackleton,1,13.19873817,1,119.5245283,45.628,33.44150943,9.090361446,3,3,12.24477612,236.3481894,14.35622318,153.01,20.99009901,1,100,89.74447174,27.512,173.8312958,1,2,1,123.5111111,2.790055249,70.25986079,11.86614173,1.495652174
Jack Harrison,2,1,0.5,3,1,33,9.090361446,47,23.5,12.24477612,236.3481894,14.35622318,4,25,3,67,2,1,173.8312958,7,11,3,2,2.790055249,1,11.86614173,1.495652174
Alfie McCalmont,81.7006237,13.19873817,2.922714286,119.5245283,45.628,33.44150943,9.090361446,2747.585417,30.74139293,12.24477612,236.3481894,14.35622318,153.01,20.99009901,120.5249406,63.59752322,89.74447174,27.512,173.8312958,386.3424242,369.7522659,61.37060703,123.5111111,2.790055249,70.25986079,11.86614173,1.495652174
Mateusz Bogusz,81.7006237,13.19873817,2.922714286,119.5245283,45.628,33.44150943,9.090361446,2747.585417,30.74139293,12.24477612,236.3481894,14.35622318,153.01,20.99009901,120.5249406,63.59752322,89.74447174,27.512,173.8312958,386.3424242,369.7522659,61.37060703,123.5111111,2.790055249,70.25986079,11.86614173,1.495652174
Ian Poveda-Ocampo,81.7006237,13.19873817,2.922714286,119.5245283,45.628,33.44150943,9.090361446,2747.585417,30.74139293,12.24477612,236.3481894,14.35622318,153.01,20.99009901,120.5249406,63.59752322,89.74447174,27.512,173.8312958,386.3424242,369.7522659,61.37060703,123.5111111,2.790055249,70.25986079,11.86614173,1.495652174
Patrick Bamford,29,3,0.1,20,9,45,1,193,6.66,12.24477612,236.3481894,14.35622318,8,20.99009901,14,63.59752322,6,6,9,386.3424242,369.7522659,61.37060703,123.5111111,2.790055249,23,1,1.495652174
Tyler Roberts,3,13.19873817,3,2,1,50,9.090361446,33,11,12.24477612,236.3481894,14.35622318,2,20.99009901,1,63.59752322,89.74447174,1,173.8312958,386.3424242,369.7522659,61.37060703,123.5111111,2.790055249,3,1,1.495652174
Joe Gelhardt,81.7006237,13.19873817,2.922714286,119.5245283,45.628,33.44150943,9.090361446,2747.585417,30.74139293,12.24477612,236.3481894,14.35622318,153.01,20.99009901,120.5249406,63.59752322,89.74447174,27.512,173.8312958,386.3424242,369.7522659,61.37060703,123.5111111,2.790055249,70.25986079,11.86614173,1.495652174
Rodrigo Moreno,19,1,0.05,20,5,25,1,190,10,5,236.3481894,14.35622318,26,20.99009901,15,63.59752322,12,6,5,386.3424242,369.7522659,61.37060703,123.5111111,2.790055249,9,11.86614173,1.495652174
Kasper Schmeichel,211,13.19873817,2.922714286,119.5245283,45.628,33.44150943,9.090361446,6198,29.37,12.24477612,1880,14.35622318,153.01,20.99009901,120.5249406,63.59752322,89.74447174,27.512,173.8312958,386.3424242,369.7522659,61.37060703,123.5111111,6,70.25986079,11,1.495652174
Danny Ward,2,13.19873817,2.922714286,119.5245283,45.628,33.44150943,9.090361446,49,24.5,12.24477612,8,14.35622318,153.01,20.99009901,120.5249406,63.59752322,89.74447174,27.512,173.8312958,386.3424242,369.7522659,61.37060703,123.5111111,2.790055249,70.25986079,11.86614173,1.495652174
Eldin Jakupovic,28,13.19873817,2.922714286,119.5245283,45.628,33.44150943,9.090361446,769,27.46,12.24477612,202,14.35622318,153.01,20.99009901,120.5249406,63.59752322,89.74447174,27.512,173.8312958,386.3424242,369.7522659,61.37060703,123.5111111,1,70.25986079,11.86614173,1.495652174
James Justin,15,1,2.922714286,119.5245283,45.628,33.44150943,1,792,52.8,1,24,14.35622318,46,17,39,49,15,2,28,75,96,8,24,2.790055249,11,2,1.495652174
Çaglar Söyüncü,42,1,2.922714286,119.5245283,45.628,33.44150943,1,2696,64.19,1,124,14.35622318,6,17,69,65,52,2,180,222,237,19,130,1,39,5,1
Wes Morgan,168,8,2.922714286,119.5245283,45.628,33.44150943,2,4435,26.4,1,220,2,6,33,200,67,313,22,879,585,797,44,503,2,129,12,3
Jonny Evans,297,11,2.922714286,119.5245283,45.628,33.44150943,9,13240,44.58,5,1004,9,59,34,457,72,585,22,1843,1587,1417,86,641,5,239,44,3
Filip Benkovic,81.7006237,13.19873817,2.922714286,119.5245283,45.628,33.44150943,9.090361446,2747.585417,30.74139293,12.24477612,236.3481894,14.35622318,153.01,20.99009901,120.5249406,63.59752322,89.74447174,27.512,173.8312958,386.3424242,369.7522659,61.37060703,123.5111111,2.790055249,70.25986079,11.86614173,1.495652174
Daniel Amartey,46,1,2.922714286,119.5245283,45.628,33.44150943,1,1469,31.93,12.24477612,72,14.35622318,6,17,68,62,50,3,76,248,153,9,59,2.790055249,41,5,1
Ricardo Pereira,63,5,2.922714286,119.5245283,45.628,33.44150943,8,3104,49.27,15,102,7,164,15,237,57,109,13,180,387,557,128,108,2.790055249,86,8,1.495652174
Christian Fuchs,107,2,2.922714286,119.5245283,45.628,33.44150943,9,4051,37.86,11,276,5,325,23,255,77,248,16,365,615,513,32,201,1,79,15,1.495652174
Luke Thomas,3,13.19873817,2.922714286,119.5245283,45.628,33.44150943,1,153,51,12.24477612,6,14.35622318,16,56,1,1,3,27.512,7,12,12,3,5,2.790055249,1,11.86614173,1.495652174
Timothy Castagne,2,1,2.922714286,119.5245283,45.628,33.44150943,1,128,64,12.24477612,1,14.35622318,6,6,4,25,3,27.512,3,8,11,1,6,2.790055249,1,11.86614173,1.495652174
Demarai Gray,132,10,0.08,138,47,34,9,1920,14.55,13,73,10,263,18,76,64,39,45,39,312,311,138,24,1,36,7,1.495652174
Youri Tielemans,52,6,0.12,89,27,30,10,2594,49.88,14,152,24,114,17,71,55,32,28,23,279,218,44,39,2.790055249,43,4,1.495652174
James Maddison,69,13,0.19,157,46,29,10,2913,42.22,21,152,41,429,30,107,58,21,54,10,291,394,101,18,2.790055249,62,7,1
Marc Albrighton,258,17,0.07,220,70,32,37,5597,21.69,60,363,33,1593,20,425,75,261,75,169,1232,962,284,69,2.790055249,167,32,1
Harvey Barnes,57,8,0.14,112,43,38,11,1083,19,9,19,8,67,12,28,68,11,32,9,138,180,78,37,2.790055249,30,11.86614173,1.495652174
Hamza Choudhury,37,1,0.03,13,4,31,2,900,24.32,2,41,1,8,13,50,46,47,6,28,106,86,5,17,2.790055249,24,3,1
Matty James,42,13.19873817,42,38,8,21,1,1260,30,3,57,2,110,28,61,77,67,14,62,197,172,25,62,2.790055249,34,4,1
Adrien Silva,14,13.19873817,14,11,2,18,1,512,36.57,1,26,3,4,4,24,63,15,5,1,63,52,7,11,2.790055249,9,3,1.495652174
Wilfred Ndidi,122,6,0.05,153,24,16,5,6181,50.66,3,284,15,27,4,482,62,253,42,297,1022,1066,103,398,1,189,20,2
Dennis Praet,29,2,0.07,21,5,24,3,604,20.83,4,21,2,25,12,37,49,20,10,12,85,72,15,7,2.790055249,20,2,1.495652174
Rachid Ghezzal,19,1,0.05,19,5,26,9.090361446,422,22.21,3,236.3481894,14.35622318,45,20.99009901,14,63.59752322,7,10,3,386.3424242,369.7522659,61.37060703,123.5111111,2.790055249,13,3,1.495652174
Nampalys Mendy,44,13.19873817,44,3,1,33,9.090361446,1559,35.43,12.24477612,66,2,6,67,45,58,37,1,30,198,141,21,17,1,34,7,1.495652174
Cengiz Ünder,81.7006237,13.19873817,2.922714286,119.5245283,45.628,33.44150943,9.090361446,2747.585417,30.74139293,12.24477612,236.3481894,14.35622318,153.01,20.99009901,120.5249406,63.59752322,89.74447174,27.512,173.8312958,386.3424242,369.7522659,61.37060703,123.5111111,2.790055249,70.25986079,11.86614173,1.495652174
Jamie Vardy,213,105,0.49,458,223,49,29,2961,13.9,50,236.3481894,14.35622318,256,20.99009901,124,63.59752322,59,82,90,386.3424242,369.7522659,61.37060703,123.5111111,2.790055249,179,20,3
Islam Slimani,39,8,0.21,42,17,40,5,580,14.87,2,236.3481894,14.35622318,10,20.99009901,14,63.59752322,4,5,6,386.3424242,369.7522659,61.37060703,123.5111111,2.790055249,30,2,1.495652174
Kelechi Iheanacho,117,21,0.18,133,56,42,13,1327,11.34,15,236.3481894,14.35622318,27,20.99009901,38,63.59752322,11,39,21,386.3424242,369.7522659,61.37060703,123.5111111,2.790055249,80,6,1.495652174
Ayoze Pérez,178,41,0.23,275,114,41,13,3435,19.3,26,236.3481894,14.35622318,197,20.99009901,240,63.59752322,137,60,96,386.3424242,369.7522659,61.37060703,123.5111111,2.790055249,182,9,1.495652174
Fousseni Diabaté,15,13.19873817,15,6,2,33,1,241,16.07,12.24477612,4,1,12,33,11,55,8,27.512,7,35,57,16,15,2.790055249,1,1,1.495652174
Loris Karius,29,13.19873817,2.922714286,119.5245283,45.628,33.44150943,9.090361446,789,27.21,12.24477612,124,14.35622318,153.01,20.99009901,120.5249406,63.59752322,89.74447174,27.512,173.8312958,386.3424242,369.7522659,61.37060703,123.5111111,2,2,1,1.495652174
Alisson,69,13.19873817,2.922714286,119.5245283,45.628,33.44150943,1,1924,27.88,12.24477612,302,14.35622318,153.01,20.99009901,120.5249406,63.59752322,89.74447174,27.512,173.8312958,386.3424242,369.7522659,61.37060703,123.5111111,4,1,1,1
Adrián,136,13.19873817,2.922714286,119.5245283,45.628,33.44150943,9.090361446,3401,25.01,12.24477612,1086,14.35622318,153.01,20.99009901,120.5249406,63.59752322,89.74447174,27.512,173.8312958,386.3424242,369.7522659,61.37060703,123.5111111,9,5,10,2
Caoimhin Kelleher,81.7006237,13.19873817,2.922714286,119.5245283,45.628,33.44150943,9.090361446,2747.585417,30.74139293,12.24477612,236.3481894,14.35622318,153.01,20.99009901,120.5249406,63.59752322,89.74447174,27.512,173.8312958,386.3424242,369.7522659,61.37060703,123.5111111,2.790055249,70.25986079,11.86614173,1.495652174
Kamil Grabara,81.7006237,13.19873817,2.922714286,119.5245283,45.628,33.44150943,9.090361446,2747.585417,30.74139293,12.24477612,236.3481894,14.35622318,153.01,20.99009901,120.5249406,63.59752322,89.74447174,27.512,173.8312958,386.3424242,369.7522659,61.37060703,123.5111111,2.790055249,70.25986079,11.86614173,1.495652174
Virgil van Dijk,159,14,2.922714286,119.5245283,45.628,33.44150943,3,10554,66.38,13,737,11,3,33,184,70,278,27,924,837,1083,41,776,3,88,8,1
Joseph Gomez,73,13.19873817,2.922714286,119.5245283,45.628,33.44150943,3,4387,60.1,2,196,2,68,24,111,74,100,4,166,406,322,39,140,2.790055249,58,15,1.495652174
Andrew Robertson,153,4,2.922714286,119.5245283,45.628,33.44150943,33,8312,54.33,40,324,8,655,17,270,63,191,19,282,880,522,109,92,1,80,20,1.495652174
Joel Matip,86,4,2.922714286,119.5245283,45.628,33.44150943,9.090361446,5249,61.03,2,258,6,6,6,134,70,125,10,362,419,428,21,233,2,52,9,1.495652174
Trent Alexander-Arnold,95,6,2.922714286,119.5245283,45.628,33.44150943,26,5323,56.03,32,394,11,708,23,158,64,114,27,184,546,264,57,31,1,50,11,1.495652174
Neco Williams,6,13.19873817,2.922714286,119.5245283,45.628,33.44150943,9.090361446,167,27.83,12.24477612,11,1,14,29,5,60,9,5,3,16,19,6,6,2.790055249,5,1,1.495652174
Konstantinos Tsimikas,81.7006237,13.19873817,2.922714286,119.5245283,45.628,33.44150943,9.090361446,2747.585417,30.74139293,12.24477612,236.3481894,14.35622318,153.01,20.99009901,120.5249406,63.59752322,89.74447174,27.512,173.8312958,386.3424242,369.7522659,61.37060703,123.5111111,2.790055249,70.25986079,11.86614173,1.495652174
Nathaniel Phillips,81.7006237,13.19873817,2.922714286,119.5245283,45.628,33.44150943,9.090361446,2747.585417,30.74139293,12.24477612,236.3481894,14.35622318,153.01,20.99009901,120.5249406,63.59752322,89.74447174,27.512,173.8312958,386.3424242,369.7522659,61.37060703,123.5111111,2.790055249,70.25986079,11.86614173,1.495652174
Sepp van den Berg,81.7006237,13.19873817,2.922714286,119.5245283,45.628,33.44150943,9.090361446,2747.585417,30.74139293,12.24477612,236.3481894,14.35622318,153.01,20.99009901,120.5249406,63.59752322,89.74447174,27.512,173.8312958,386.3424242,369.7522659,61.37060703,123.5111111,2.790055249,70.25986079,11.86614173,1.495652174
Fabinho,58,3,0.05,29,8,28,5,3291,56.74,4,157,5,19,37,126,55,67,11,43,292,293,19,99,2.790055249,63,12,1.495652174
Georginio Wijnaldum,181,25,0.14,224,86,38,16,7603,42.01,15,240,13,67,24,200,68,117,55,124,989,696,194,142,2,84,7,1.495652174
James Milner,539,55,0.1,496,151,30,84,16171,30,46,882,110,2247,23,803,77,437,174,423,1751,1843,310,337,2,438,65,3
Naby Keita,45,4,0.09,40,17,43,4,1760,39.11,6,32,12,12,12,69,42,25,11,17,202,164,50,20,2.790055249,35,1,1.495652174
Jordan Henderson,342,30,0.09,344,99,29,46,17932,52.43,49,1188,129,792,23,673,71,437,98,336,1878,1182,135,243,1,299,34,2
Alex Oxlade-Chamberlain,196,16,0.08,237,65,27,22,4570,23.32,27,250,53,421,20,188,74,133,87,75,566,707,344,76,3,104,10,1.495652174
Marko Grujic,8,13.19873817,8,4,2,50,9.090361446,47,5.88,12.24477612,236.3481894,14.35622318,153.01,20.99009901,3,67,89.74447174,27.512,173.8312958,3,12,2,5,2.790055249,2,1,1.495652174
Curtis Jones,7,1,0.14,6,2,33,9.090361446,143,20.43,12.24477612,3,14.35622318,153.01,20.99009901,4,100,2,1,173.8312958,17,9,3,2,2.790055249,4,11.86614173,1.495652174
Harry Wilson,31,7,0.23,56,20,36,9.090361446,575,18.55,4,42,6,35,11,23,57,11,25,11,85,87,17,6,2.790055249,12,2,1.495652174
Harvey Elliott,4,13.19873817,4,1,1,100,9.090361446,22,5.5,12.24477612,1,14.35622318,3,3,120.5249406,63.59752322,89.74447174,27.512,173.8312958,4,1,1,123.5111111,2.790055249,70.25986079,11.86614173,1.495652174
Xherdan Shaqiri,115,22,0.19,187,64,34,18,3039,26.43,32,175,55,555,26,70,54,43,50,15,446,330,121,16,2.790055249,79,12,1.495652174
Thiago,1,13.19873817,1,1,45.628,1,9.090361446,82,82,12.24477612,10,14.35622318,1,1,1,1,1,27.512,173.8312958,3,2,61.37060703,1,2.790055249,3,11.86614173,1.495652174
Roberto Firmino,177,57,0.32,424,182,43,36,6222,35.15,50,236.3481894,14.35622318,159,20.99009901,259,63.59752322,73,121,61,386.3424242,369.7522659,61.37060703,123.5111111,2.790055249,206,8,1.495652174
Sadio Mané,196,86,0.44,445,190,43,29,6136,31.31,43,236.3481894,14.35622318,278,20.99009901,226,63.59752322,97,92,53,386.3424242,369.7522659,61.37060703,123.5111111,2.790055249,215,21,3
Mohamed Salah,123,78,0.63,449,201,45,29,3357,27.29,41,236.3481894,14.35622318,200,20.99009901,58,63.59752322,25,114,11,386.3424242,369.7522659,61.37060703,123.5111111,2.790055249,63,4,1.495652174
Takumi Minamino,11,13.19873817,11,8,2,25,9.090361446,107,9.73,12.24477612,236.3481894,14.35622318,2,20.99009901,3,63.59752322,89.74447174,3,3,386.3424242,369.7522659,61.37060703,123.5111111,2.790055249,7,11.86614173,1.495652174
