Name,Jersey Number,Nationality,Age,Appearances,Wins,Losses,Goals,Goals per match,Headed goals,Goals with right foot,Goals with left foot,Penalties scored,Freekicks scored,Shots,Shots on target,Shooting accuracy %,Hit woodwork,Big chances missed,Clean sheets,Goals conceded,Tackles,Tackle success %,Last man tackles,Blocked shots,Interceptions,Clearances,Headed Clearance,Clearances off line,Recoveries,Duels won,Duels lost,Successful 50/50s,Aerial battles won,Aerial battles lost,Own goals,Errors leading to goal,Assists,Passes,Passes per match,Big chances created,Crosses,Cross accuracy %,Through balls,Accurate long balls,Saves,Penalties saved,Punches,High Claims,Catches,Sweeper clearances,Throw outs,Goal Kicks,Yellow cards,Red cards,Fouls,Offsides,Club_encoded,Position_encoded
Jota,23.0,Spain,29.0,0.016728624535315983,2,7,0.06814937525333523,10.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,17%,0.0,0.0,,,3.0,33%,,4.0,3.0,5.0,1.0,,26.0,13.0,25.0,7.0,1.0,2.0,,0.0,0.0,0.005130779097652111,9.3,1.0,2.0,2%,2.0,6.0,,,,,,,,,0,0,6,0.0,1,3
Jacob Ramsey,41.0,England,19.0,0.15000115929483956,0,0,0.06814937525333523,0.0,0.0,0.0,0.0,0.0,0.0,119.5245283018868,0.0,0%,0.0,0.0,,,0.0,0%,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.09747423428654378,0.1531752504972766,0.0,0.0,0.0,0%,0.0,0.0,,,,,,,,,0,0,0,0.0,1,3
Wesley,9.0,Brazil,23.0,0.03717472118959108,6,12,0.0223463687150838,0.24,0.0,5.0,0.0,0.0,0.0,35.0,18.0,51%,1.0,5.0,,,15.0,,,8.0,4.0,23.0,18.0,,,,,,,,,,0.0,0.020411577714572526,17.48,1.0,7.0,,,,,,,,,,,,3,0,43,14.0,1,1
Keinan Davis,39.0,England,22.0,0.03345724907063197,4,9,0.06814937525333523,19.0,0.0,0.0,0.0,0.0,0.0,17.0,5.0,29%,0.0,3.0,,,1.0,,,2.0,0.0,4.0,3.0,,,,,,,,,,0.09747423428654378,0.008253862026657743,7.84,0.0,3.0,,,,,,,,,,,,0,0,12,3.0,1,1
Ollie Watkins,11.0,England,24.0,0.0,1,0,0.06814937525333523,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3%,0.0,0.0,,,0.0,,,1.0,0.0,0.0,0.0,,,,,,,,,,0.09747423428654378,0.001003848084323239,19.0,0.0,0.0,,,,,,,,,,,,0,0,2,1.0,1,1
Bertrand Traoré,,Burkina Faso,25.0,0.016728624535315983,2,4,0.00558659217877095,0.2,0.0,0.0,2.0,0.0,0.0,17.0,6.0,35%,0.0,0.0,,,9.0,,,7.0,2.0,3.0,1.0,,,,,,,,,,0.0,0.007528860632424293,13.6,1.0,3.0,,,,,,,,,,,,0,0,3,5.0,1,1
Mat Ryan,1.0,Australia,28.0,0.20631970260223048,27,50,0.06814937525333523,,,,,,,119.5245283018868,,,,,26.0,166.0,,,,,,,,,,,,,,,0.0,2.0,0.09747423428654378,0.18242150465673973,29.21,,,,,964.0,340.0,2.0,32.0,68.0,17.0,15.0,491.0,956.0,2,0,2,,2,2
Jason Steele,23.0,England,30.0,0.15000115929483956,0,0,0.06814937525333523,,,,,,,119.5245283018868,,,,,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0,0.09747423428654378,0.1531752504972766,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,2,2
Christian Walton,31.0,England,24.0,0.15000115929483956,0,0,0.06814937525333523,,,,,,,119.5245283018868,,,,,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0,0.09747423428654378,0.1531752504972766,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,2,2
Robert Sánchez,26.0,Spain,22.0,0.15000115929483956,0,0,0.06814937525333523,,,,,,,119.5245283018868,,,,,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0,0.09747423428654378,0.1531752504972766,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,2,2
