Name,Jersey Number,Nationality,Age,Appearances,Wins,Losses,Goals,Goals per match,Headed goals,Goals with right foot,Goals with left foot,Penalties scored,Freekicks scored,Shots,Shots on target,Shooting accuracy %,Hit woodwork,Big chances missed,Clean sheets,Goals conceded,Tackles,Tackle success %,Last man tackles,Blocked shots,Interceptions,Clearances,Headed Clearance,Clearances off line,Recoveries,Duels won,Duels lost,Successful 50/50s,Aerial battles won,Aerial battles lost,Own goals,Errors leading to goal,Assists,Passes,Passes per match,Big chances created,Crosses,Cross accuracy %,Through balls,Accurate long balls,Saves,Penalties saved,Punches,High Claims,Catches,Sweeper clearances,Throw outs,Goal Kicks,Yellow cards,Red cards,Fouls,Offsides,Club_encoded,Position_encoded
Brandon Pierrick,40.0,England,18.0,2.0,0,1,1.148846721304978e-16,2.0,0.0,0.0,0.0,0.0,0.0,1.3941664213081824e-16,0.0,0%,0.0,0.0,,,0.0,,,0.0,0.0,1.0,1.0,,,,,,,,,,9.090361445783133,-0.9264317807841175,3.5,0.0,2.0,,,,,,,,,,,,0,0,0,0.0,5,1
Michy Batshuayi,23.0,Belgium,26.0,60.0,37,15,-0.012853256189133242,0.22,1.0,8.0,4.0,0.0,0.0,-0.45643232884722895,25.0,34%,1.0,9.0,,,13.0,,,22.0,7.0,6.0,5.0,,,,,,,,,,3.0,-0.7864825732490639,7.02,0.0,3.0,,,,,,,,,,,,0,0,24,29.0,5,1
Jordan Pickford,1.0,England,26.0,147.0,48,65,1.148846721304978e-16,,,,,,,1.3941664213081824e-16,,,,,38.0,218.0,,,,,,,,,,,,,,,0.0,13.0,9.090361445783133,0.6103051695887172,30.97,,,,,1273.0,462.0,4.0,71.0,98.0,38.0,65.0,609.0,1232.0,3,0,3,,6,2
João Virgínia,31.0,Portugal,20.0,81.7006237006237,0,0,1.148846721304978e-16,,,,,,,1.3941664213081824e-16,,,,,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0,9.090361445783133,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,6,2
Jonas Lössl,49.0,Denmark,31.0,69.0,12,41,1.148846721304978e-16,,,,,,,1.3941664213081824e-16,,,,,14.0,112.0,,,,,,,,,,,,,,,1.0,5.0,2.0,-0.1546828899567568,33.19,,,,,746.0,191.0,3.0,43.0,49.0,9.0,34.0,200.0,527.0,2,0,0,,6,2
Mason Holgate,4.0,England,23.0,65.0,28,16,1.148846721304978e-16,,0.0,0.0,0.0,,,1.3941664213081824e-16,,,1.0,,14.0,75.0,113.0,68%,0.0,3.0,81.0,274.0,140.0,1.0,285.0,319.0,227.0,27.0,124.0,120.0,0.0,1.0,4.0,-0.1076951125476446,37.37,7.0,62.0,16%,2.0,218.0,,,,,,,,,11,0,43,3.0,6,0
Michael Keane,5.0,England,27.0,153.0,53,64,-0.46557350196193825,,3.0,2.0,1.0,,,1.3941664213081824e-16,,,3.0,,40.0,205.0,157.0,68%,2.0,17.0,249.0,978.0,652.0,2.0,656.0,899.0,574.0,22.0,685.0,417.0,1.0,1.0,5.0,1.1542140462164978,40.27,7.0,11.0,27%,3.0,479.0,,,,,,,,,13,0,82,5.0,6,0
Lucas Digne,12.0,France,27.0,72.0,28,27,-0.5949221436113111,,0.0,0.0,4.0,,,1.3941664213081824e-16,,,5.0,,20.0,89.0,150.0,64%,1.0,29.0,104.0,195.0,100.0,0.0,369.0,452.0,314.0,37.0,209.0,102.0,2.0,0.0,12.0,0.07214299955054018,41.12,21.0,570.0,28%,2.0,130.0,,,,,,,,,11,1,83,5.0,6,0
Yerry Mina,13.0,Colombia,26.0,44.0,17,16,-0.6595964644359975,,2.0,1.0,0.0,,,1.3941664213081824e-16,,,0.0,,8.0,52.0,54.0,56%,0.0,7.0,41.0,156.0,93.0,0.0,181.0,229.0,142.0,6.0,153.0,99.0,1.0,1.0,1.0,-0.23513678221120787,46.64,2.0,4.0,4%,1.0,149.0,,,,,,,,,6,0,33,3.0,6,0
Séamus Coleman,23.0,Ireland,31.0,276.0,114,79,0.43986698958367176,,7.0,8.0,6.0,,,1.3941664213081824e-16,,,6.0,,78.0,277.0,480.0,79%,8.0,48.0,296.0,542.0,284.0,1.0,1272.0,1308.0,1157.0,364.0,195.0,221.0,4.0,3.0,21.0,2.0899130956296097,32.36,36.0,742.0,20%,12.0,342.0,,,,,,,,,29,2,194,29.0,6,0
Jarrad Branthwaite,32.0,England,18.0,4.0,1,2,1.148846721304978e-16,,0.0,0.0,0.0,,,1.3941664213081824e-16,,,0.0,,1.0,6.0,8.0,88%,0.0,0.0,2.0,11.0,7.0,0.0,18.0,20.0,21.0,1.0,9.0,15.0,0.0,0.0,9.090361445783133,-0.8534148029397417,55.75,0.0,0.0,0%,0.0,13.0,,,,,,,,,0,0,4,0.0,6,0
Jonjoe Kenny,2.0,England,23.0,31.0,11,15,1.148846721304978e-16,,0.0,0.0,0.0,,,1.3941664213081824e-16,,,1.0,,6.0,46.0,64.0,78%,0.0,2.0,46.0,107.0,56.0,0.0,138.0,142.0,122.0,11.0,62.0,43.0,0.0,0.0,2.0,-0.5755446372542005,33.71,3.0,67.0,24%,0.0,68.0,,,,,,,,,3,0,28,0.0,6,0
