Name,Jersey Number,Nationality,Age,Appearances,Wins,Losses,Goals,Goals per match,Headed goals,Goals with right foot,Goals with left foot,Penalties scored,Freekicks scored,Shots,Shots on target,Shooting accuracy %,Hit woodwork,Big chances missed,Clean sheets,Goals conceded,Tackles,Tackle success %,Last man tackles,Blocked shots,Interceptions,Clearances,Headed Clearance,Clearances off line,Recoveries,Duels won,Duels lost,Successful 50/50s,Aerial battles won,Aerial battles lost,Own goals,Errors leading to goal,Assists,Passes,Passes per match,Big chances created,Crosses,Cross accuracy %,Through balls,Accurate long balls,Saves,Penalties saved,Punches,High Claims,Catches,Sweeper clearances,Throw outs,Goal Kicks,Yellow cards,Red cards,Fouls,Offsides
Sofiane Boufal,19.0,Morocco,27.0,70.0,12,35,3.0,0.04,0.0,1.0,2.0,0.0,0.0,73.0,20.0,27%,0.0,2.0,,,91.0,63%,,28.0,15.0,9.0,3.0,,212.0,371.0,410.0,187.0,23.0,37.0,,0.0,4.0,1328.0,18.97,9.0,101.0,16%,9.0,36.0,,,,,,,,,8,0,77,5.0
Nathan Redmond,11.0,England,26.0,208.0,53,99,25.0,0.12,1.0,20.0,3.0,0.0,0.0,382.0,129.0,34%,14.0,15.0,,,253.0,64%,,108.0,113.0,74.0,22.0,,901.0,924.0,1114.0,415.0,69.0,187.0,,1.0,18.0,5788.0,27.83,37.0,525.0,23%,27.0,243.0,,,,,,,,,12,1,155,48.0
William Smallbone,20.0,Ireland,20.0,11.0,5,3,13.198738170347003,11.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,6%,1.0,0.0,,,13.0,,,2.0,3.0,1.0,1.0,,,,,,,,,,2.0,248.0,22.55,0.0,9.0,,,,,,,,,,,,0,0,4,0.0
Nathan Tella,23.0,England,21.0,2.0,1,1,13.198738170347003,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,50%,0.0,0.0,,,0.0,0%,,0.0,0.0,0.0,0.0,,0.0,7.0,1.0,1.0,1.0,1.0,,0.0,9.090361445783133,4.0,2.0,0.0,0.0,0%,0.0,0.0,,,,,,,,,0,0,0,0.0
Shane Long,7.0,Ireland,33.0,322.0,110,143,55.0,0.17,14.0,28.0,12.0,1.0,0.0,403.0,161.0,40%,17.0,64.0,,,230.0,,,53.0,125.0,181.0,113.0,,,,,,,,,,23.0,4540.0,14.1,25.0,307.0,,,,,,,,,,,,28,0,395,186.0
Danny Ings,9.0,England,28.0,113.0,32,47,45.0,0.4,7.0,24.0,13.0,6.0,0.0,268.0,108.0,40%,10.0,26.0,,,106.0,,,65.0,37.0,45.0,26.0,,,,,,,,,,9.0,1938.0,17.15,14.0,94.0,,,,,,,,,,,,11,0,91,43.0
Che Adams,10.0,England,24.0,32.0,13,14,4.0,0.12,0.0,4.0,0.0,0.0,0.0,41.0,13.0,32%,1.0,11.0,,,6.0,,,15.0,2.0,9.0,3.0,,,,,,,,,,2.0,282.0,8.81,5.0,13.0,,,,,,,,,,,,1,0,20,11.0
Michael Obafemi,14.0,Ireland,20.0,28.0,10,12,4.0,0.14,0.0,3.0,1.0,0.0,0.0,20.0,8.0,40%,0.0,4.0,,,8.0,,,7.0,7.0,0.0,0.0,,,,,,,,,,3.0,156.0,5.57,3.0,3.0,,,,,,,,,,,,2,0,13,4.0
Hugo Lloris,1.0,France,33.0,262.0,153,56,13.198738170347003,,,,,,,119.52452830188679,,,,,92.0,277.0,,,,,,,,,,,,,,,0.0,18.0,9.090361445783133,6702.0,25.58,,,,,1543.0,703.0,5.0,177.0,210.0,96.0,257.0,1234.0,1888.0,3,0,3,
Paulo Gazzaniga,22.0,Argentina,28.0,43.0,13,20,13.198738170347003,,,,,,,119.52452830188679,,,,,6.0,61.0,,,,,,,,,,,,,,,0.0,7.0,9.090361445783133,982.0,22.84,,,,,221.0,127.0,1.0,18.0,36.0,17.0,31.0,162.0,359.0,1,0,1,
Joe Hart,12.0,England,33.0,340.0,169,97,13.198738170347003,,,,,,,119.52452830188679,,,,,127.0,383.0,,,,,,,,,,,,,,,0.0,20.0,1.0,6733.0,19.8,,,,,1800.0,941.0,7.0,269.0,391.0,249.0,180.0,1516.0,2806.0,7,0,6,
Alfie Whiteman,41.0,England,21.0,81.7006237006237,0,0,13.198738170347003,,,,,,,119.52452830188679,,,,,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0,9.090361445783133,2747.585416666667,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,
Brandon Austin,40.0,England,21.0,81.7006237006237,0,0,13.198738170347003,,,,,,,119.52452830188679,,,,,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0,9.090361445783133,2747.585416666667,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,
Toby Alderweireld,4.0,Belgium,31.0,176.0,98,42,8.0,,5.0,2.0,1.0,,,119.52452830188679,,,3.0,,60.0,158.0,226.0,74%,2.0,27.0,183.0,976.0,462.0,4.0,824.0,556.0,442.0,26.0,282.0,266.0,2.0,1.0,4.0,10036.0,57.02,5.0,57.0,28%,22.0,1081.0,,,,,,,,,20,0,68,3.0
Davinson Sánchez,6.0,Colombia,24.0,84.0,46,21,1.0,,1.0,0.0,0.0,,,119.52452830188679,,,0.0,,23.0,81.0,122.0,59%,3.0,5.0,102.0,384.0,193.0,0.0,430.0,379.0,305.0,18.0,199.0,159.0,1.0,1.0,1.0,4901.0,58.35,1.0,5.0,20%,0.0,249.0,,,,,,,,,9,1,73,1.0
Juan Foyth,21.0,Argentina,22.0,16.0,8,5,1.0,,1.0,0.0,0.0,,,119.52452830188679,,,0.0,,3.0,14.0,38.0,53%,1.0,0.0,11.0,50.0,28.0,0.0,62.0,96.0,59.0,21.0,28.0,20.0,0.0,2.0,9.090361445783133,642.0,40.12,2.0,2.0,2%,1.0,23.0,,,,,,,,,4,1,18,0.0
Serge Aurier,24.0,Cote D'Ivoire,27.0,58.0,32,13,3.0,,1.0,1.0,1.0,,,119.52452830188679,,,0.0,,12.0,53.0,162.0,67%,1.0,10.0,85.0,149.0,93.0,0.0,285.0,394.0,328.0,62.0,130.0,108.0,1.0,1.0,9.0,2326.0,40.1,11.0,229.0,14%,1.0,64.0,,,,,,,,,4,2,79,9.0
Ben Davies,33.0,Wales,27.0,201.0,96,59,6.0,,0.0,1.0,5.0,,,119.52452830188679,,,2.0,,51.0,203.0,390.0,69%,2.0,32.0,263.0,625.0,310.0,1.0,689.0,957.0,842.0,79.0,343.0,346.0,0.0,0.0,15.0,8593.0,42.75,20.0,587.0,22%,5.0,327.0,,,,,,,,,26,0,162,4.0
Japhet Tanganga,25.0,England,21.0,6.0,1,3,13.198738170347003,,0.0,0.0,0.0,,,119.52452830188679,,,0.0,,2.0,7.0,17.0,53%,0.0,1.0,11.0,29.0,21.0,1.0,27.0,45.0,32.0,6.0,18.0,11.0,0.0,1.0,9.090361445783133,201.0,33.5,0.0,2.0,2%,0.0,6.0,,,,,,,,,1,0,8,0.0
Matt Doherty,2.0,Ireland,28.0,77.0,32,22,8.0,,3.0,1.0,4.0,,,119.52452830188679,,,2.0,,19.0,75.0,128.0,59%,1.0,16.0,103.0,137.0,96.0,1.0,333.0,508.0,388.0,50.0,288.0,205.0,1.0,0.0,8.0,2970.0,38.57,11.0,108.0,19%,4.0,103.0,,,,,,,,,7,0,63,6.0
Dennis Cirkin,49.0,England,18.0,81.7006237006237,0,0,13.198738170347003,,0.0,0.0,0.0,,,119.52452830188679,,,0.0,,0.0,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.090361445783133,2747.585416666667,0.0,0.0,0.0,0%,0.0,0.0,,,,,,,,,0,0,0,0.0
Cameron Carter-Vickers,,United States,22.0,81.7006237006237,0,0,13.198738170347003,,0.0,0.0,0.0,,,119.52452830188679,,,0.0,,0.0,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.090361445783133,2747.585416666667,0.0,0.0,0.0,0%,0.0,0.0,,,,,,,,,0,0,0,0.0
Sergio Reguilón,3.0,Spain,23.0,81.7006237006237,0,0,13.198738170347003,,0.0,0.0,0.0,,,119.52452830188679,,,0.0,,0.0,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.090361445783133,2747.585416666667,0.0,0.0,0.0,0%,0.0,0.0,,,,,,,,,0,0,0,0.0
Harry Winks,8.0,England,24.0,96.0,58,23,2.0,0.02,1.0,1.0,0.0,0.0,0.0,32.0,6.0,19%,1.0,1.0,,,88.0,65%,,8.0,73.0,64.0,24.0,,394.0,230.0,237.0,51.0,33.0,33.0,,0.0,2.0,4198.0,43.73,3.0,54.0,17%,11.0,199.0,,,,,,,,,14,0,59,2.0
Erik Lamela,11.0,Argentina,28.0,155.0,81,36,16.0,0.1,2.0,1.0,12.0,0.0,0.0,203.0,69.0,34%,8.0,16.0,,,247.0,74%,,72.0,103.0,32.0,17.0,,546.0,633.0,869.0,192.0,38.0,124.0,,0.0,23.0,4019.0,25.93,28.0,374.0,27%,36.0,90.0,,,,,,,,,26,0,213,28.0
Eric Dier,15.0,England,26.0,176.0,102,36,10.0,0.06,4.0,5.0,1.0,0.0,0.0,114.0,27.0,24%,2.0,6.0,,,286.0,73%,,32.0,257.0,530.0,316.0,,729.0,822.0,703.0,53.0,418.0,305.0,,6.0,8.0,9661.0,54.89,11.0,121.0,18%,16.0,648.0,,,,,,,,,33,0,164,6.0
Moussa Sissoko,17.0,France,31.0,235.0,110,83,14.0,0.06,1.0,12.0,1.0,0.0,0.0,216.0,69.0,32%,3.0,18.0,,,280.0,78%,,54.0,163.0,176.0,104.0,,1273.0,1069.0,1390.0,386.0,240.0,332.0,,1.0,24.0,8466.0,36.03,34.0,459.0,22%,60.0,257.0,,,,,,,,,36,2,276,24.0
Ryan Sessegnon,19.0,England,20.0,41.0,10,25,2.0,0.05,0.0,1.0,1.0,0.0,0.0,29.0,11.0,38%,1.0,9.0,,,29.0,62%,,6.0,22.0,48.0,19.0,,156.0,113.0,177.0,36.0,24.0,45.0,,0.0,6.0,846.0,20.63,6.0,79.0,18%,5.0,18.0,,,,,,,,,0,0,24,17.0
Dele Alli,20.0,England,24.0,157.0,90,34,50.0,0.32,9.0,31.0,10.0,2.0,0.0,319.0,128.0,40%,7.0,37.0,,,237.0,65%,,82.0,127.0,99.0,57.0,,750.0,817.0,1078.0,183.0,121.0,184.0,,1.0,33.0,5517.0,35.14,44.0,76.0,12%,67.0,167.0,,,,,,,,,24,0,178,31.0
Tanguy Ndombele,28.0,France,23.0,23.0,6,10,2.0,0.09,0.0,1.0,1.0,0.0,0.0,9.0,4.0,44%,0.0,0.0,,,24.0,67%,,3.0,14.0,8.0,3.0,,83.0,102.0,72.0,40.0,8.0,9.0,,0.0,2.0,672.0,29.22,1.0,13.0,15%,4.0,19.0,,,,,,,,,4,0,15,0.0
Gedson Fernandes,30.0,Portugal,21.0,7.0,3,1,13.198738170347003,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1%,0.0,0.0,,,2.0,2%,,1.0,1.0,0.0,0.0,,7.0,6.0,9.0,2.0,0.0,1.0,,0.0,9.090361445783133,39.0,5.57,0.0,7.0,29%,0.0,0.0,,,,,,,,,0,0,0,0.0
Pierre-Emile Højbjerg,5.0,Denmark,25.0,111.0,34,49,4.0,0.04,0.0,3.0,1.0,0.0,0.0,143.0,40.0,28%,4.0,8.0,,,245.0,65%,,34.0,177.0,131.0,68.0,,939.0,639.0,605.0,100.0,153.0,115.0,,2.0,4.0,5860.0,52.79,4.0,89.0,31%,20.0,315.0,,,,,,,,,21,2,149,2.0
Harvey White,48.0,England,19.0,81.7006237006237,0,0,13.198738170347003,0.0,0.0,0.0,0.0,0.0,0.0,119.52452830188679,0.0,0%,0.0,0.0,,,0.0,0%,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,9.090361445783133,2747.585416666667,0.0,0.0,0.0,0%,0.0,0.0,,,,,,,,,0,0,0,0.0
Giovani Lo Celso,18.0,Argentina,24.0,29.0,11,8,13.198738170347003,29.0,0.0,0.0,0.0,0.0,0.0,19.0,3.0,16%,0.0,1.0,,,51.0,57%,,7.0,9.0,17.0,8.0,,124.0,140.0,151.0,33.0,9.0,22.0,,0.0,2.0,995.0,34.31,1.0,57.0,21%,8.0,44.0,,,,,,,,,7,0,30,0.0
Lucas Moura,27.0,Brazil,28.0,75.0,38,26,14.0,0.19,2.0,10.0,2.0,0.0,0.0,108.0,37.0,34%,1.0,17.0,,,95.0,,,29.0,42.0,51.0,40.0,,,,,,,,,,5.0,1653.0,22.04,7.0,43.0,,,,,,,,,,,,6,0,62,20.0
Jack Clarke,47.0,England,19.0,81.7006237006237,0,0,13.198738170347003,0.0,0.0,0.0,0.0,0.0,0.0,119.52452830188679,0.0,0%,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,,9.090361445783133,2747.585416666667,0.0,0.0,0.0,,,,,,,,,,,,0,0,0,0.0
Son Heung-Min,7.0,South Korea,28.0,162.0,95,36,57.0,0.35,3.0,31.0,23.0,0.0,0.0,354.0,151.0,43%,11.0,27.0,,,110.0,,,96.0,57.0,43.0,18.0,,,,,,,,,,29.0,3731.0,23.03,32.0,242.0,,,,,,,,,,,,4,2,65,99.0
Harry Kane,10.0,England,27.0,212.0,120,48,144.0,0.68,22.0,88.0,33.0,20.0,1.0,783.0,354.0,45%,22.0,85.0,,,139.0,,,190.0,59.0,147.0,111.0,,,,,,,,,,24.0,4408.0,20.79,38.0,178.0,,,,,,,,,,,,26,0,208,160.0
Steven Bergwijn,23.0,Netherlands,22.0,16.0,8,4,3.0,0.19,0.0,3.0,0.0,0.0,0.0,9.0,4.0,44%,0.0,0.0,,,10.0,,,3.0,1.0,5.0,1.0,,,,,,,,,,1.0,265.0,16.56,1.0,10.0,,,,,,,,,,,,2,0,9,0.0
Gareth Bale,9.0,Wales,31.0,146.0,62,41,42.0,0.29,4.0,5.0,32.0,0.0,3.0,435.0,161.0,37%,16.0,21.0,,,220.0,,,113.0,240.0,295.0,77.0,,,,,,,,,,20.0,4663.0,31.94,32.0,1021.0,,,,,,,,,,,,15,1,86,30.0
Sam Johnstone,1.0,England,27.0,2.0,0,2,13.198738170347003,,,,,,,119.52452830188679,,,,,0.0,8.0,,,,,,,,,,,,,,,0.0,0.0,9.090361445783133,51.0,25.5,,,,,16.0,6.0,0.0,0.0,0.0,0.0,0.0,11.0,14.0,0,0,0,
David Button,25.0,England,31.0,4.0,1,2,13.198738170347003,,,,,,,119.52452830188679,,,,,1.0,5.0,,,,,,,,,,,,,,,0.0,0.0,9.090361445783133,99.0,24.75,,,,,27.0,14.0,0.0,2.0,2.0,1.0,1.0,9.0,34.0,0,0,0,
Jonathan Bond,23.0,England,27.0,81.7006237006237,0,0,13.198738170347003,,,,,,,119.52452830188679,,,,,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0,9.090361445783133,2747.585416666667,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,
Darnell Furlong,2.0,England,24.0,5.0,0,5,13.198738170347003,,0.0,0.0,0.0,,,119.52452830188679,,,0.0,,0.0,13.0,3.0,100%,0.0,1.0,9.0,12.0,7.0,0.0,11.0,27.0,23.0,3.0,15.0,9.0,0.0,0.0,9.090361445783133,117.0,23.4,0.0,12.0,25%,0.0,8.0,,,,,,,,,1,0,5,1.0
Kieran Gibbs,3.0,England,30.0,172.0,88,40,2.0,,0.0,0.0,2.0,,,119.52452830188679,,,1.0,,35.0,154.0,332.0,68%,3.0,20.0,307.0,496.0,243.0,3.0,715.0,757.0,640.0,127.0,239.0,260.0,1.0,1.0,9.0,6012.0,34.95,13.0,429.0,19%,11.0,162.0,,,,,,,,,17,2,112,13.0
Kyle Bartley,5.0,England,29.0,23.0,6,11,13.198738170347003,,0.0,0.0,0.0,,,119.52452830188679,,,0.0,,1.0,35.0,32.0,72%,1.0,2.0,26.0,115.0,63.0,1.0,59.0,95.0,50.0,5.0,46.0,22.0,0.0,1.0,9.090361445783133,776.0,33.74,0.0,3.0,3%,0.0,44.0,,,,,,,,,6,0,22,2.0
Semi Ajayi,6.0,Nigeria,26.0,2.0,0,2,13.198738170347003,,0.0,0.0,0.0,,,119.52452830188679,,,0.0,,0.0,8.0,0.0,0%,0.0,0.0,2.0,3.0,2.0,0.0,9.0,1.0,7.0,0.0,1.0,0.0,0.0,0.0,9.090361445783133,54.0,27.0,0.0,0.0,0%,0.0,5.0,,,,,,,,,1,0,2,0.0
Conor Townsend,14.0,England,27.0,81.7006237006237,0,0,13.198738170347003,,0.0,0.0,0.0,,,119.52452830188679,,,0.0,,0.0,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.090361445783133,2747.585416666667,0.0,0.0,0.0,0%,0.0,0.0,,,,,,,,,0,0,0,0.0
Ahmed Hegazi,26.0,Egypt,29.0,38.0,6,19,2.0,,2.0,0.0,0.0,,,119.52452830188679,,,0.0,,10.0,55.0,58.0,66%,0.0,0.0,60.0,270.0,152.0,1.0,183.0,192.0,145.0,22.0,103.0,84.0,0.0,1.0,9.090361445783133,1186.0,31.21,0.0,10.0,30%,1.0,135.0,,,,,,,,,4,0,24,2.0
Dara O'Shea,27.0,Ireland,21.0,2.0,0,2,13.198738170347003,,0.0,0.0,0.0,,,119.52452830188679,,,0.0,,0.0,8.0,8.0,38%,0.0,0.0,1.0,6.0,5.0,0.0,11.0,12.0,7.0,0.0,3.0,3.0,0.0,0.0,9.090361445783133,79.0,39.5,0.0,0.0,0%,0.0,13.0,,,,,,,,,0,0,2,0.0
Cédric Kipré,24.0,Cote D'Ivoire,23.0,81.7006237006237,0,0,13.198738170347003,,0.0,0.0,0.0,,,119.52452830188679,,,0.0,,0.0,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.090361445783133,2747.585416666667,0.0,0.0,0.0,0%,0.0,0.0,,,,,,,,,0,0,0,0.0
Lee Peltier,22.0,England,33.0,20.0,7,12,13.198738170347003,,0.0,0.0,0.0,,,119.52452830188679,,,0.0,,5.0,26.0,39.0,64%,0.0,0.0,18.0,53.0,29.0,1.0,70.0,78.0,54.0,3.0,30.0,26.0,0.0,0.0,9.090361445783133,342.0,17.1,0.0,6.0,50%,0.0,21.0,,,,,,,,,4,0,15,0.0
Branislav Ivanovic,20.0,Serbia,36.0,261.0,152,50,22.0,,7.0,13.0,2.0,,,119.52452830188679,,,8.0,,86.0,236.0,528.0,81%,6.0,40.0,393.0,1137.0,533.0,5.0,1154.0,1427.0,915.0,106.0,587.0,325.0,0.0,2.0,20.0,9871.0,37.82,20.0,520.0,20%,12.0,660.0,,,,,,,,,55,2,293,18.0
Jake Livermore,8.0,England,30.0,180.0,52,87,7.0,0.04,0.0,6.0,1.0,0.0,0.0,129.0,32.0,25%,7.0,1.0,,,363.0,70%,,41.0,227.0,164.0,62.0,,903.0,633.0,665.0,81.0,108.0,140.0,,0.0,9.0,6813.0,37.85,11.0,56.0,18%,20.0,482.0,,,,,,,,,30,1,199,3.0
Matt Phillips,10.0,Scotland,29.0,110.0,28,55,10.0,0.09,2.0,6.0,2.0,0.0,0.0,150.0,39.0,26%,2.0,8.0,,,100.0,65%,,40.0,70.0,83.0,32.0,,408.0,435.0,648.0,175.0,114.0,171.0,,0.0,22.0,1831.0,16.65,23.0,536.0,23%,9.0,60.0,,,,,,,,,6,0,57,20.0
Kamil Grosicki,13.0,Poland,32.0,15.0,4,7,13.198738170347003,15.0,0.0,0.0,0.0,0.0,0.0,24.0,7.0,29%,1.0,1.0,,,4.0,100%,,4.0,8.0,6.0,3.0,,36.0,21.0,59.0,13.0,1.0,11.0,,0.0,4.0,251.0,16.73,5.0,84.0,20%,0.0,1.0,,,,,,,,,1,0,12,6.0
Rekeem Harper,16.0,England,20.0,2.0,1,1,13.198738170347003,2.0,0.0,0.0,0.0,0.0,0.0,119.52452830188679,0.0,0%,0.0,0.0,,,1.0,100%,,0.0,1.0,0.0,0.0,,2.0,2.0,2.0,1.0,0.0,0.0,,0.0,9.090361445783133,18.0,9.0,0.0,0.0,0%,0.0,2.0,,,,,,,,,0,0,1,0.0
Romaine Sawyers,19.0,Saint Kitts And Nevis,28.0,2.0,0,2,13.198738170347003,2.0,0.0,0.0,0.0,0.0,0.0,119.52452830188679,0.0,0%,0.0,0.0,,,2.0,2%,,0.0,2.0,1.0,1.0,,9.0,6.0,9.0,0.0,2.0,0.0,,0.0,9.090361445783133,63.0,31.5,0.0,0.0,0%,0.0,3.0,,,,,,,,,0,0,1,0.0
Sam Field,28.0,England,22.0,20.0,5,9,1.0,0.05,0.0,0.0,1.0,0.0,0.0,6.0,1.0,17%,0.0,0.0,,,21.0,86%,,4.0,15.0,9.0,7.0,,56.0,47.0,55.0,4.0,12.0,14.0,,0.0,9.090361445783133,275.0,13.75,0.0,15.0,20%,0.0,17.0,,,,,,,,,5,0,16,0.0
Kyle Edwards,21.0,England,22.0,2.0,0,2,13.198738170347003,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1%,0.0,0.0,,,2.0,,,1.0,0.0,0.0,0.0,,,,,,,,,,9.090361445783133,11.0,5.5,0.0,0.0,,,,,,,,,,,,0,0,0,0.0
Grady Diangana,11.0,England,22.0,19.0,7,10,1.0,0.05,0.0,0.0,1.0,0.0,0.0,13.0,5.0,38%,0.0,0.0,,,23.0,48%,,3.0,4.0,5.0,3.0,,49.0,72.0,85.0,25.0,9.0,22.0,,0.0,1.0,298.0,15.68,3.0,14.0,29%,0.0,4.0,,,,,,,,,0,0,4,2.0
Conor Gallagher,18.0,England,20.0,81.7006237006237,0,0,13.198738170347003,0.0,0.0,0.0,0.0,0.0,0.0,119.52452830188679,0.0,0%,0.0,0.0,,,0.0,0%,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,9.090361445783133,2747.585416666667,0.0,0.0,0.0,0%,0.0,0.0,,,,,,,,,0,0,0,0.0
Hal Robson-Kanu,4.0,Wales,31.0,76.0,16,39,12.0,0.16,3.0,2.0,7.0,1.0,0.0,73.0,28.0,38%,2.0,5.0,,,21.0,,,17.0,29.0,34.0,20.0,,,,,,,,,,3.0,682.0,8.97,2.0,101.0,,,,,,,,,,,,5,1,76,13.0
Kenneth Zohore,9.0,Denmark,26.0,19.0,4,13,1.0,0.05,0.0,0.0,1.0,0.0,0.0,17.0,8.0,47%,0.0,2.0,,,3.0,,,4.0,2.0,5.0,5.0,,,,,,,,,,1.0,136.0,7.16,1.0,7.0,,,,,,,,,,,,1,0,13,4.0
Matheus Pereira,12.0,Brazil,24.0,2.0,0,2,1.0,0.5,0.0,0.0,1.0,0.0,1.0,4.0,2.0,50%,0.0,0.0,,,1.0,,,1.0,3.0,2.0,1.0,,,,,,,,,,1.0,56.0,28.0,0.0,5.0,,,,,,,,,,,,0,0,3,0.0
Charlie Austin,15.0,England,31.0,106.0,25,55,34.0,0.32,11.0,20.0,3.0,6.0,0.0,255.0,106.0,42%,6.0,34.0,,,62.0,,,78.0,17.0,84.0,52.0,,,,,,,,,,8.0,1500.0,14.15,7.0,54.0,,,,,,,,,,,,8,1,83,68.0
Callum Robinson,7.0,Ireland,25.0,22.0,3,10,1.0,0.05,0.0,1.0,0.0,0.0,0.0,14.0,5.0,36%,0.0,1.0,,,7.0,,,3.0,7.0,3.0,3.0,,,,,,,,,,1.0,190.0,8.64,2.0,22.0,,,,,,,,,,,,1,0,13,5.0
Jamie Soule,32.0,England,19.0,81.7006237006237,0,0,13.198738170347003,0.0,0.0,0.0,0.0,0.0,0.0,119.52452830188679,0.0,0%,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,,9.090361445783133,2747.585416666667,0.0,0.0,0.0,,,,,,,,,,,,0,0,0,0.0
Lukasz Fabianski,1.0,Poland,35.0,246.0,91,104,13.198738170347003,,,,,,,119.52452830188679,,,,,63.0,349.0,,,,,,,,,,,,,,,0.0,17.0,2.0,6328.0,25.72,,,,,1895.0,807.0,6.0,155.0,357.0,101.0,123.0,1260.0,2016.0,4,1,6,
David Martin,25.0,England,34.0,5.0,2,3,13.198738170347003,,,,,,,119.52452830188679,,,,,2.0,6.0,,,,,,,,,,,,,,,0.0,1.0,9.090361445783133,111.0,22.2,,,,,40.0,15.0,0.0,1.0,1.0,0.0,0.0,12.0,44.0,1,0,0,
Darren Randolph,35.0,Ireland,33.0,31.0,10,14,13.198738170347003,,,,,,,119.52452830188679,,,,,6.0,58.0,,,,,,,,,,,,,,,0.0,5.0,9.090361445783133,839.0,27.06,,,,,309.0,85.0,1.0,6.0,33.0,8.0,15.0,97.0,262.0,1,0,0,
Nathan Trott,34.0,England,21.0,81.7006237006237,0,0,13.198738170347003,,,,,,,119.52452830188679,,,,,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0,9.090361445783133,2747.585416666667,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,
Aaron Cresswell,3.0,England,30.0,190.0,61,75,8.0,,0.0,1.0,7.0,,,119.52452830188679,,,5.0,,40.0,273.0,212.0,62%,1.0,28.0,230.0,515.0,256.0,5.0,855.0,645.0,584.0,60.0,260.0,208.0,0.0,6.0,18.0,6957.0,36.62,27.0,752.0,21%,6.0,506.0,,,,,,,,,23,1,88,18.0
Fabián Balbuena,4.0,Paraguay,29.0,40.0,15,19,2.0,,0.0,2.0,0.0,,,119.52452830188679,,,1.0,,8.0,56.0,57.0,56%,1.0,5.0,79.0,243.0,125.0,0.0,167.0,188.0,165.0,3.0,124.0,99.0,0.0,2.0,9.090361445783133,1335.0,33.38,1.0,2.0,2%,2.0,86.0,,,,,,,,,4,0,25,0.0
Gonçalo Cardoso,29.0,Portugal,19.0,81.7006237006237,0,0,13.198738170347003,,0.0,0.0,0.0,,,119.52452830188679,,,0.0,,0.0,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.090361445783133,2747.585416666667,0.0,0.0,0.0,0%,0.0,0.0,,,,,,,,,0,0,0,0.0
Angelo Ogbonna,21.0,Italy,32.0,137.0,47,53,4.0,,2.0,0.0,1.0,,,119.52452830188679,,,1.0,,28.0,207.0,171.0,68%,1.0,10.0,208.0,689.0,367.0,0.0,585.0,626.0,377.0,27.0,373.0,227.0,1.0,2.0,1.0,4633.0,33.82,2.0,9.0,56%,3.0,342.0,,,,,,,,,16,0,88,1.0
Issa Diop,23.0,France,23.0,67.0,23,29,4.0,,3.0,1.0,0.0,,,119.52452830188679,,,0.0,,11.0,101.0,97.0,56%,1.0,2.0,114.0,326.0,157.0,0.0,330.0,291.0,176.0,11.0,157.0,90.0,1.0,2.0,1.0,2212.0,33.01,3.0,1.0,1%,0.0,107.0,,,,,,,,,12,0,49,4.0
Ryan Fredericks,24.0,England,27.0,44.0,13,22,1.0,,0.0,1.0,0.0,,,119.52452830188679,,,0.0,,9.0,59.0,122.0,66%,1.0,4.0,41.0,109.0,54.0,2.0,170.0,234.0,169.0,23.0,59.0,52.0,0.0,1.0,4.0,1358.0,30.86,5.0,89.0,25%,0.0,47.0,,,,,,,,,14,0,38,2.0
