Name,Jersey Number,Nationality,Age,Appearances,Wins,Losses,Goals,Goals per match,Headed goals,Goals with right foot,Goals with left foot,Penalties scored,Freekicks scored,Shots,Shots on target,Shooting accuracy %,Hit woodwork,Big chances missed,Clean sheets,Goals conceded,Tackles,Tackle success %,Last man tackles,Blocked shots,Interceptions,Clearances,Headed Clearance,Clearances off line,Recoveries,Duels won,Duels lost,Successful 50/50s,Aerial battles won,Aerial battles lost,Own goals,Errors leading to goal,Assists,Passes,Passes per match,Big chances created,Crosses,Cross accuracy %,Through balls,Accurate long balls,Saves,Penalties saved,Punches,High Claims,Catches,Sweeper clearances,Throw outs,Goal Kicks,Yellow cards,Red cards,Fouls,Offsides
Harry Maguire,5.0,England,27.0,140.0,50,58,8.0,,4.0,4.0,0.0,,,119.52452830188679,,,4.0,,32.0,195.0,191.0,69%,3.0,23.0,233.0,639.0,396.0,0.0,871.0,895.0,433.0,107.0,494.0,202.0,0.0,1.0,7.0,7325.0,52.32,9.0,34.0,15%,6.0,646.0,,,,,,,,,26,1,117,17.0
Chris Smalling,12.0,England,30.0,219.0,122,56,12.0,,8.0,2.0,2.0,,,119.52452830188679,,,2.0,,66.0,210.0,283.0,68%,8.0,32.0,360.0,1287.0,670.0,0.0,897.0,1082.0,629.0,59.0,645.0,324.0,4.0,3.0,2.0,8092.0,36.95,3.0,63.0,35%,7.0,517.0,,,,,,,,,18,1,192,14.0
Marcos Rojo,16.0,Argentina,30.0,76.0,45,10,1.0,,0.0,0.0,1.0,,,119.52452830188679,,,0.0,,21.0,58.0,140.0,71%,0.0,14.0,130.0,383.0,213.0,0.0,358.0,351.0,264.0,26.0,154.0,113.0,1.0,1.0,1.0,3503.0,46.09,1.0,83.0,22%,2.0,238.0,,,,,,,,,23,0,81,2.0
Diogo Dalot,20.0,Portugal,21.0,20.0,9,7,13.198738170347003,,0.0,0.0,0.0,,,119.52452830188679,,,0.0,,1.0,19.0,27.0,52%,0.0,5.0,12.0,31.0,13.0,0.0,58.0,65.0,37.0,11.0,25.0,6.0,0.0,0.0,2.0,474.0,23.7,5.0,53.0,26%,0.0,10.0,,,,,,,,,3,0,13,2.0
Luke Shaw,23.0,England,25.0,157.0,68,39,1.0,,0.0,0.0,1.0,,,119.52452830188679,,,2.0,,43.0,141.0,275.0,73%,3.0,31.0,167.0,464.0,228.0,0.0,681.0,821.0,630.0,163.0,261.0,198.0,0.0,1.0,7.0,6663.0,42.44,14.0,425.0,21%,9.0,171.0,,,,,,,,,29,1,138,7.0
Timothy Fosu-Mensah,24.0,Netherlands,22.0,49.0,17,23,13.198738170347003,,0.0,0.0,0.0,,,119.52452830188679,,,0.0,,5.0,51.0,80.0,69%,3.0,5.0,65.0,110.0,49.0,0.0,175.0,151.0,135.0,24.0,31.0,46.0,1.0,1.0,1.0,1316.0,26.86,2.0,40.0,23%,2.0,59.0,,,,,,,,,8,0,36,2.0
Aaron Wan-Bissaka,29.0,England,22.0,77.0,32,26,13.198738170347003,,0.0,0.0,0.0,,,119.52452830188679,,,0.0,,25.0,89.0,287.0,66%,0.0,7.0,165.0,221.0,100.0,1.0,423.0,529.0,300.0,128.0,76.0,75.0,0.0,0.0,7.0,3019.0,39.21,8.0,179.0,17%,3.0,72.0,,,,,,,,,13,1,46,3.0
Axel Tuanzebe,38.0,England,22.0,10.0,4,3,13.198738170347003,,0.0,0.0,0.0,,,119.52452830188679,,,0.0,,1.0,7.0,11.0,64%,0.0,1.0,12.0,12.0,9.0,0.0,28.0,24.0,37.0,1.0,5.0,17.0,0.0,1.0,9.090361445783133,279.0,27.9,0.0,1.0,1%,0.0,6.0,,,,,,,,,0,0,9,0.0
Brandon Williams,33.0,England,20.0,17.0,8,3,1.0,,0.0,1.0,0.0,,,119.52452830188679,,,0.0,,4.0,11.0,21.0,71%,0.0,1.0,16.0,14.0,10.0,0.0,68.0,62.0,53.0,16.0,10.0,9.0,0.0,0.0,9.090361445783133,551.0,32.41,0.0,12.0,25%,1.0,16.0,,,,,,,,,6,0,13,1.0
Teden Mengi,71.0,England,18.0,81.7006237006237,0,0,13.198738170347003,,0.0,0.0,0.0,,,119.52452830188679,,,0.0,,0.0,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.090361445783133,2747.585416666667,0.0,0.0,0.0,0%,0.0,0.0,,,,,,,,,0,0,0,0.0
